Server Version:76
TWS Time at connection:20160607 09:47:49 AEST
Got account: DU289674
Connected
Account=DU289674
message: id=-1, errorCode=2107, msg=HMDS data farm connection is inactive but should be available upon demand.ushmds
REQ EXECUTIONS Start
Order Id=18
-- little sleep --
ACCOUNT: account=DU289674 key=WarrantValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=WarrantValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=WarrantValue value=0 currency=USD
ACCOUNT: account=DU289674 key=WhatIfPMEnabled value=true currency=null
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=1715006, m_symbol='A', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='A', m_tradingClass='A', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=100, m_marketPrice=45.8600006, m_marketValue=4586.0, m_averageCost=46.006453, m_unrealPnl=-14.65, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=265598, m_symbol='AAPL', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NASDAQ', m_primaryExch='NASDAQ', m_currency='USD', m_localSymbol='AAPL', m_tradingClass='NMS', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=1, m_marketPrice=98.6550064, m_marketValue=98.66, m_averageCost=100.1485, m_unrealPnl=-1.49, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=1714996, m_symbol='ABC', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='ABC', m_tradingClass='ABC', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=350, m_marketPrice=76.44999695, m_marketValue=26757.5, m_averageCost=76.45661685, m_unrealPnl=-2.32, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=4065, m_symbol='ABT', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='ABT', m_tradingClass='ABT', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=1500, m_marketPrice=39.16999815, m_marketValue=58755.0, m_averageCost=38.92603595, m_unrealPnl=365.94, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=5960, m_symbol='COO', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='COO', m_tradingClass='COO', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=381, m_marketPrice=163.0700073, m_marketValue=62129.67, m_averageCost=154.2480798, m_unrealPnl=3361.15, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=9087676, m_symbol='CPHD', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NASDAQ', m_primaryExch='NASDAQ', m_currency='USD', m_localSymbol='CPHD', m_tradingClass='NMS', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=2044, m_marketPrice=28.79999925, m_marketValue=58867.2, m_averageCost=28.82621825, m_unrealPnl=-53.59, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=10377696, m_symbol='CYH', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='CYH', m_tradingClass='CYH', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=3707, m_marketPrice=14.22999955, m_marketValue=52750.61, m_averageCost=15.21768025, m_unrealPnl=-3661.33, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=7884, m_symbol='HAE', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='HAE', m_tradingClass='HAE', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=2110, m_marketPrice=29.02000045, m_marketValue=61232.2, m_averageCost=27.9325888, m_unrealPnl=2294.44, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=49601334, m_symbol='HRC', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='HRC', m_tradingClass='HRC', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=1207, m_marketPrice=50.34000015, m_marketValue=60760.38, m_averageCost=48.6457981, m_unrealPnl=2044.9, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=185731883, m_symbol='MYL', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NASDAQ', m_primaryExch='NASDAQ', m_currency='USD', m_localSymbol='MYL', m_tradingClass='NMS', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=1573, m_marketPrice=46.52000045, m_marketValue=73175.96, m_averageCost=42.6621309, m_unrealPnl=6068.43, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=140067524, m_symbol='PRGO', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='PRGO', m_tradingClass='PRGO', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=552, m_marketPrice=99.26000215, m_marketValue=54791.52, m_averageCost=105.80510145, m_unrealPnl=-3612.89, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=4816936, m_symbol='PRXL', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NASDAQ', m_primaryExch='NASDAQ', m_currency='USD', m_localSymbol='PRXL', m_tradingClass='NMS', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=955, m_marketPrice=62.9599991, m_marketValue=60126.8, m_averageCost=61.7116026, m_unrealPnl=1192.22, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=273733, m_symbol='REGN', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NASDAQ', m_primaryExch='NASDAQ', m_currency='USD', m_localSymbol='REGN', m_tradingClass='NMS', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=154, m_marketPrice=403.88998415, m_marketValue=62199.06, m_averageCost=379.4331961, m_unrealPnl=3766.35, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=4817352, m_symbol='RMD', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='RMD', m_tradingClass='RMD', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=1045, m_marketPrice=59.8600006, m_marketValue=62553.7, m_averageCost=56.0252803, m_unrealPnl=4007.28, m_realPnl=0.0}
ACCOUNT: portfolio: Position{m_contract=NewContract{m_conid=6746327, m_symbol='USNA', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='NYSE', m_primaryExch='NYSE', m_currency='USD', m_localSymbol='USNA', m_tradingClass='USNA', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}, m_account='DU289674', m_position=492, m_marketPrice=124.62000275, m_marketValue=61313.04, m_averageCost=119.62160265, m_unrealPnl=2459.21, m_realPnl=0.0}
ACCOUNT: accountDownloadEnd
LIVE ORDERS: openOrder: contract=NewContract{m_conid=92080245, m_symbol='NTM', m_secType=STK, m_expiry='', m_strike=0.0, m_right=None, m_multiplier='null', m_exchange='SMART', m_primaryExch='null', m_currency='AUD', m_localSymbol='NTM', m_tradingClass='NTM', m_secIdType=None, m_secId='null', m_underComp=null, m_comboLegs=[]}
