02F6.BE	BER
SCHG	PCX
FGUQ.DU	DUS
AUSAUW.SW	ISE
TOTL.A	ASE
SXRI.BE	BER
WSMXCK13.MX	MEX
O036.L	LSE
HMLD.L	LSE
M9SC.HM	HAM
WPS	PCX
83100.HK	HKG
PDBC	NGM
42HW.L	LSE
SSUG.L	LSE
CUPM	PCX
VOOV.A	ASE
XCCR.MI	MIL
DBXQ.MU	MUN
TIPS.AS	AMS
77YW.L	LSE
IXP.MX	MEX
M9SE.DU	DUS
GDAY.A	ASE
MORT.MX	MEX
HTD.TO	TOR
6PSD.MU	MUN
M9SH.SG	STU
SNOP.L	LSE
CUD-A.TO	TOR
XDND.SG	STU
IEMF	PCX
